57.81,53.34,96.75,79.97,49.37,78.14,1.03,31.45,60.73,81.97,67.81,70.19,21.36,42.53,40.37,83.98,68.35,61.69,55.38,48.68,83.51,5.67,58.56,67.79,6.27
39.73,6.56,57.39,61.04,8.06,43.63,83.40,45.13,75.77,1.77,16.66,42.41,6.61,70.97,29.96,81.69,62.68,50.71,9.04,69.82,96.02,23.79,45.02,25.78,72.16
0.10,40.80,50.99,65.90,46.21,21.78,16.40,74.21,13.64,4.12,76.79,66.76,89.32,69.21,88.06,8.64,41.34,53.25,91.42,27.61,46.04,76.34,83.32,87.24,37.27
87.42,28.03,7.77,31.35,37.60,60.87,89.77,34.47,41.14,29.43,1.37,78.67,67.10,46.79,64.86,40.13,54.59,91.08,9.52,48.76,32.34,70.50,84.98,14.69,53.03
62.52,4.19,82.27,95.97,56.54,72.20,56.60,91.55,89.19,14.85,77.99,67.87,83.64,72.64,65.10,96.95,77.15,33.59,27.18,47.40,39.34,94.67,64.93,96.05,40.10
77.26,82.96,81.06,10.08,25.19,71.42,25.01,78.04,89.79,20.33,3.84,2.60,95.63,85.03,55.19,17.59,97.43,9.70,5.40,0.09,19.39,94.58,87.82,20.97,99.79
3.80,73.94,77.65,81.44,14.17,69.41,55.01,9.56,17.42,97.90,78.32,34.56,60.15,12.64,34.07,27.43,85.20,10.68,59.13,45.22,92.20,2.21,57.85,58.29,18.82
24.71,67.72,91.04,19.23,47.47,11.27,25.09,60.49,37.60,46.24,54.38,93.93,7.57,41.30,73.14,93.73,91.80,71.15,93.08,95.09,53.51,79.88,46.86,26.65,98.05
84.80,17.54,18.07,20.91,30.38,45.64,28.21,76.95,97.40,2.31,87.90,90.46,81.61,19.53,33.70,61.92,24.05,91.50,43.07,83.85,11.41,85.93,28.76,47.45,98.46
62.74,67.90,83.88,79.81,68.51,56.81,40.57,71.43,43.69,74.51,68.10,52.19,49.91,36.59,37.56,16.42,8.50,82.33,86.96,56.71,53.17,98.24,64.55,70.51,19.97
26.11,85.42,79.91,0.84,80.23,10.62,14.95,63.92,24.05,40.41,70.16,14.17,75.42,75.86,52.54,75.93,2.31,24.91,93.53,79.16,65.26,4.54,42.74,66.16,38.91
15.66,71.26,36.82,31.78,10.72,42.74,21.44,92.02,60.90,7.13,90.68,64.96,17.90,79.89,4.78,16.32,47.31,29.81,40.60,41.69,52.01,77.22,44.42,3.88,21.93
22.73,15.46,70.42,76.81,33.79,83.04,64.59,24.10,88.26,71.57,68.00,88.92,27.88,51.13,14.09,42.92,14.08,98.47,3.46,97.00,3.72,83.47,62.97,78.25,41.18
11.13,51.04,74.41,17.65,21.03,68.10,9.62,33.34,47.87,7.51,1.44,5.15,17.04,68.33,76.52,98.38,11.99,50.58,26.30,90.99,7.76,32.06,56.84,43.85,84.68
29.62,41.76,91.06,57.30,17.33,95.76,49.74,85.56,62.75,43.93,32.91,74.02,9.60,11.31,13.22,42.97,96.52,20.45,4.52,53.39,81.16,74.89,75.94,42.61,46.95
