55.00,77.00,77.00,15.00,44.00,6.00,52.00,58.00,32.00,59.00
36.00,44.00,29.00,48.00,69.00,52.00,66.00,69.00,65.00,37.00
69.00,92.00,35.00,31.00,20.00,66.00,1.00,72.00,33.00,17.00
48.00,44.00,11.00,64.00,61.00,41.00,36.00,54.00,2.00,31.00
48.00,55.00,77.00,26.00,70.00,18.00,81.00,68.00,90.00,11.00
18.00,13.00,54.00,16.00,32.00,58.00,94.00,6.00,77.00,95.00
9.00,76.00,35.00,30.00,53.00,18.00,83.00,54.00,67.00,39.00
44.00,25.00,27.00,57.00,66.00,29.00,69.00,41.00,32.00,53.00
95.00,25.00,0.00,76.00,77.00,75.00,77.00,17.00,63.00,6.00
97.00,15.00,43.00,92.00,53.00,69.00,67.00,7.00,78.00,29.00
11.00,73.00,78.00,66.00,12.00,98.00,88.00,58.00,8.00,27.00
72.00,93.00,79.00,65.00,76.00,39.00,92.00,46.00,49.00,44.00
15.00,28.00,13.00,15.00,72.00,33.00,54.00,64.00,27.00,64.00
87.00,57.00,44.00,34.00,20.00,35.00,96.00,88.00,25.00,30.00
4.00,6.00,48.00,51.00,99.00,0.00,87.00,60.00,13.00,6.00
