57.81,39.73,0.10,87.42,62.52,77.26,3.80,24.71,84.80,62.74,26.11,15.66,22.73,11.13,29.62
53.34,6.56,40.80,28.03,4.19,82.96,73.94,67.72,17.54,67.90,85.42,71.26,15.46,51.04,41.76
96.75,57.39,50.99,7.77,82.27,81.06,77.65,91.04,18.07,83.88,79.91,36.82,70.42,74.41,91.06
79.97,61.04,65.90,31.35,95.97,10.08,81.44,19.23,20.91,79.81,0.84,31.78,76.81,17.65,57.30
49.37,8.06,46.21,37.60,56.54,25.19,14.17,47.47,30.38,68.51,80.23,10.72,33.79,21.03,17.33
78.14,43.63,21.78,60.87,72.20,71.42,69.41,11.27,45.64,56.81,10.62,42.74,83.04,68.10,95.76
1.03,83.40,16.40,89.77,56.60,25.01,55.01,25.09,28.21,40.57,14.95,21.44,64.59,9.62,49.74
31.45,45.13,74.21,34.47,91.55,78.04,9.56,60.49,76.95,71.43,63.92,92.02,24.10,33.34,85.56
60.73,75.77,13.64,41.14,89.19,89.79,17.42,37.60,97.40,43.69,24.05,60.90,88.26,47.87,62.75
81.97,1.77,4.12,29.43,14.85,20.33,97.90,46.24,2.31,74.51,40.41,7.13,71.57,7.51,43.93
67.81,16.66,76.79,1.37,77.99,3.84,78.32,54.38,87.90,68.10,70.16,90.68,68.00,1.44,32.91
70.19,42.41,66.76,78.67,67.87,2.60,34.56,93.93,90.46,52.19,14.17,64.96,88.92,5.15,74.02
21.36,6.61,89.32,67.10,83.64,95.63,60.15,7.57,81.61,49.91,75.42,17.90,27.88,17.04,9.60
42.53,70.97,69.21,46.79,72.64,85.03,12.64,41.30,19.53,36.59,75.86,79.89,51.13,68.33,11.31
40.37,29.96,88.06,64.86,65.10,55.19,34.07,73.14,33.70,37.56,52.54,4.78,14.09,76.52,13.22
83.98,81.69,8.64,40.13,96.95,17.59,27.43,93.73,61.92,16.42,75.93,16.32,42.92,98.38,42.97
68.35,62.68,41.34,54.59,77.15,97.43,85.20,91.80,24.05,8.50,2.31,47.31,14.08,11.99,96.52
61.69,50.71,53.25,91.08,33.59,9.70,10.68,71.15,91.50,82.33,24.91,29.81,98.47,50.58,20.45
55.38,9.04,91.42,9.52,27.18,5.40,59.13,93.08,43.07,86.96,93.53,40.60,3.46,26.30,4.52
48.68,69.82,27.61,48.76,47.40,0.09,45.22,95.09,83.85,56.71,79.16,41.69,97.00,90.99,53.39
83.51,96.02,46.04,32.34,39.34,19.39,92.20,53.51,11.41,53.17,65.26,52.01,3.72,7.76,81.16
5.67,23.79,76.34,70.50,94.67,94.58,2.21,79.88,85.93,98.24,4.54,77.22,83.47,32.06,74.89
58.56,45.02,83.32,84.98,64.93,87.82,57.85,46.86,28.76,64.55,42.74,44.42,62.97,56.84,75.94
67.79,25.78,87.24,14.69,96.05,20.97,58.29,26.65,47.45,70.51,66.16,3.88,78.25,43.85,42.61
6.27,72.16,37.27,53.03,40.10,99.79,18.82,98.05,98.46,19.97,38.91,21.93,41.18,84.68,46.95
54.91,45.03,51.07,48.25,64.42,50.25,47.08,58.04,52.47,58.06,48.32,40.95,53.05,40.54,50.21
25.27,27.22,28.63,26.00,25.73,36.95,29.86,28.64,31.42,22.20,29.52,26.43,30.33,29.48,28.07
