id,category,strong_1,strong_2,medium,low_1,low_2,low_3,value
id_1,B,98.47923138822793,61.885751141204054,45.41329429833269,6.420316461542877,2.944488920695857,0.516817211686077,88.55875966963288
id_2,,88.75664116805572,98.18462467582683,,0.8413996499504883,3.8509772860192526,5.31354631568148,85.71556259771455
id_3,C,96.97494707820945,78.8613588645796,7.244743604561155,1.6162871409461377,8.511366715168569,5.406351216101065,79.61362218551805
id_4,B,94.74136752138244,90.51424146988217,24.47263801387815,8.985541885270793,3.1692200515627764,6.374299014982066,90.3437207051554
id_5,A,79.89499894055426,114.45398843556558,49.282522705530035,6.0642905965958995,1.6949274668609249,7.260913337226615,94.665673217552
id_6,A,96.09371175115584,74.95753374893249,12.10276357557502,0.09197051616629648,5.568012624583502,9.758520794625346,79.86168510341612
id_7,A,54.424625102595975,84.62297538213778,33.606777370293926,1.014715428660321,9.36154774160781,5.163003483011953,66.64788674002428
id_8,C,59.79914312095726,,38.08098076643588,6.635017691080558,6.96029796674973,3.2295647294124596,76.45095696941563
id_9,C,52.2613644455269,73.72788992949735,11.881877199619984,0.05061583846218687,5.700611700893649,7.9518619476870365,57.40297644929666
id_10,C,66.26651653816322,64.61879458972759,36.41081743059298,1.6080805141749865,0.9717649377076854,2.708322512620742,68.40068019686294
id_11,A,69.4338644844741,77.38508717482608,18.38915663596266,5.487337893665861,6.150072266991698,4.389714207056361,73.92443237589227
id_12,,63.567451588694794,69.67327723524026,31.615291529678974,6.918951976926932,9.900538501042632,0.7845638134226596,62.20258727825466
id_13,C,91.43687545759647,115.78185914055439,31.676485538044734,6.519612595026006,1.4008401523652403,0.2535074341545751,103.69526516021557
id_14,A,67.83766633467947,108.48722277386501,26.788734203737924,2.242693094605598,5.183296523637368,9.626484146779251,74.97567956570279
id_15,A,64.04672548436903,98.00422539062541,4.514488502720415,7.121792213475358,8.773730719279554,8.359801205122059,70.28849148207274
id_16,A,77.13480415791243,112.28763541126307,41.7651247794619,2.3724908749680007,7.407686177542044,,92.03391535602417
